k,Bernoulli,Laplace,delta,"delta, %"
1,7.888609e-29,1.114600e-22,-1.114599e-22,1.412922e+08
2,3.904861e-27,7.756224e-22,-7.756185e-22,1.986289e+07
3,1.275588e-25,5.185729e-21,-5.185602e-21,4.065264e+06
4,3.093301e-24,3.331176e-20,-3.330867e-20,1.076800e+06
5,5.939138e-23,2.055955e-19,-2.055361e-19,3.460706e+05
6,9.403635e-22,1.219152e-18,-1.218211e-18,1.295468e+05
7,1.262774e-20,6.945925e-18,-6.933298e-18,5.490530e+04
8,1.467975e-19,3.802163e-17,-3.787483e-17,2.580074e+04
9,1.500596e-18,1.999676e-16,-1.984670e-16,1.322587e+04
10,1.365543e-17,1.010454e-15,-9.967988e-16,7.299653e+03
11,1.117262e-16,4.905711e-15,-4.793984e-15,4.290832e+03
12,8.286361e-16,2.288313e-14,-2.205449e-14,2.661541e+03
13,5.609229e-15,1.025551e-13,-9.694584e-14,1.728327e+03
14,3.485735e-14,4.415980e-13,-4.067406e-13,1.166872e+03
15,1.998488e-13,1.826944e-12,-1.627095e-12,8.141631e+02
16,1.061697e-12,7.261923e-12,-6.200226e-12,5.839922e+02
17,5.246031e-12,2.773360e-11,-2.248757e-11,4.286587e+02
18,2.419003e-11,1.017628e-10,-7.757277e-11,3.206807e+02
19,1.043991e-10,3.587568e-10,-2.543577e-10,2.436397e+02
20,4.228163e-10,1.215177e-09,-7.923602e-10,1.874006e+02
21,1.610729e-09,3.954639e-09,-2.343910e-09,1.455186e+02
22,5.783981e-09,1.236524e-08,-6.581260e-09,1.137843e+02
23,1.961524e-08,3.714724e-08,-1.753200e-08,8.937947e+01
24,6.293223e-08,1.072207e-07,-4.428848e-08,7.037488e+01
25,1.913140e-07,2.973439e-07,-1.060299e-07,5.542195e+01
26,5.518672e-07,7.922598e-07,-2.403926e-07,4.355986e+01
27,1.512525e-06,2.028170e-06,-5.156454e-07,3.409170e+01
28,3.943369e-06,4.988494e-06,-1.045126e-06,2.650337e+01
29,9.790433e-06,1.178861e-05,-1.998181e-06,2.040953e+01
30,2.317069e-05,2.676605e-05,-3.595355e-06,1.551682e+01
31,5.232091e-05,5.838939e-05,-6.068471e-06,1.159856e+01
32,1.128170e-04,1.223804e-04,-9.563415e-06,8.476929e+00
33,2.324713e-04,2.464438e-04,-1.397250e-05,6.010418e+00
34,4.581053e-04,4.768176e-04,-1.871236e-05,4.084730e+00
35,8.638557e-04,8.863697e-04,-2.251402e-05,2.606224e+00
36,1.559739e-03,1.583090e-03,-2.335092e-05,1.497104e+00
37,2.697928e-03,2.716594e-03,-1.866624e-05,6.918733e-01
38,4.472880e-03,4.478906e-03,-6.026083e-06,1.347249e-01
39,7.110732e-03,7.094919e-03,1.581370e-05,2.223920e-01
40,1.084387e-02,1.079819e-02,4.567341e-05,4.211912e-01
41,1.586907e-02,1.579003e-02,7.904158e-05,4.980856e-01
42,2.229227e-02,2.218417e-02,1.081026e-04,4.849332e-01
43,3.006864e-02,2.994549e-02,1.231495e-04,4.095613e-01
44,3.895256e-02,3.883721e-02,1.153488e-04,2.961263e-01
45,4.847430e-02,4.839414e-02,8.015172e-05,1.653489e-01
46,5.795840e-02,5.793831e-02,2.008759e-05,3.465863e-02
47,6.659050e-02,6.664492e-02,-5.442059e-05,8.172425e-02
48,7.352701e-02,7.365403e-02,-1.270177e-04,1.727497e-01
49,7.802866e-02,7.820854e-02,-1.798747e-04,2.305239e-01
50,7.958924e-02,7.978846e-02,-1.992187e-04,2.503086e-01
51,7.802866e-02,7.820854e-02,-1.798747e-04,2.305239e-01
52,7.352701e-02,7.365403e-02,-1.270177e-04,1.727497e-01
53,6.659050e-02,6.664492e-02,-5.442059e-05,8.172425e-02
54,5.795840e-02,5.793831e-02,2.008759e-05,3.465863e-02
55,4.847430e-02,4.839414e-02,8.015172e-05,1.653489e-01
56,3.895256e-02,3.883721e-02,1.153488e-04,2.961263e-01
57,3.006864e-02,2.994549e-02,1.231495e-04,4.095613e-01
58,2.229227e-02,2.218417e-02,1.081026e-04,4.849332e-01
59,1.586907e-02,1.579003e-02,7.904158e-05,4.980856e-01
60,1.084387e-02,1.079819e-02,4.567341e-05,4.211912e-01
61,7.110732e-03,7.094919e-03,1.581370e-05,2.223920e-01
62,4.472880e-03,4.478906e-03,-6.026083e-06,1.347249e-01
63,2.697928e-03,2.716594e-03,-1.866624e-05,6.918733e-01
64,1.559739e-03,1.583090e-03,-2.335092e-05,1.497104e+00
65,8.638557e-04,8.863697e-04,-2.251402e-05,2.606224e+00
66,4.581053e-04,4.768176e-04,-1.871236e-05,4.084730e+00
67,2.324713e-04,2.464438e-04,-1.397250e-05,6.010418e+00
68,1.128170e-04,1.223804e-04,-9.563415e-06,8.476929e+00
69,5.232091e-05,5.838939e-05,-6.068471e-06,1.159856e+01
70,2.317069e-05,2.676605e-05,-3.595355e-06,1.551682e+01
71,9.790433e-06,1.178861e-05,-1.998181e-06,2.040953e+01
72,3.943369e-06,4.988494e-06,-1.045126e-06,2.650337e+01
73,1.512525e-06,2.028170e-06,-5.156454e-07,3.409170e+01
74,5.518672e-07,7.922598e-07,-2.403926e-07,4.355986e+01
75,1.913140e-07,2.973439e-07,-1.060299e-07,5.542195e+01
76,6.293223e-08,1.072207e-07,-4.428848e-08,7.037488e+01
77,1.961524e-08,3.714724e-08,-1.753200e-08,8.937947e+01
78,5.783981e-09,1.236524e-08,-6.581260e-09,1.137843e+02
79,1.610729e-09,3.954639e-09,-2.343910e-09,1.455186e+02
80,4.228163e-10,1.215177e-09,-7.923602e-10,1.874006e+02
81,1.043991e-10,3.587568e-10,-2.543577e-10,2.436397e+02
82,2.419003e-11,1.017628e-10,-7.757277e-11,3.206807e+02
83,5.246031e-12,2.773360e-11,-2.248757e-11,4.286587e+02
84,1.061697e-12,7.261923e-12,-6.200226e-12,5.839922e+02
85,1.998488e-13,1.826944e-12,-1.627095e-12,8.141631e+02
86,3.485735e-14,4.415980e-13,-4.067406e-13,1.166872e+03
87,5.609229e-15,1.025551e-13,-9.694584e-14,1.728327e+03
88,8.286361e-16,2.288313e-14,-2.205449e-14,2.661541e+03
89,1.117262e-16,4.905711e-15,-4.793984e-15,4.290832e+03
90,1.365543e-17,1.010454e-15,-9.967988e-16,7.299653e+03
91,1.500596e-18,1.999676e-16,-1.984670e-16,1.322587e+04
92,1.467975e-19,3.802163e-17,-3.787483e-17,2.580074e+04
93,1.262774e-20,6.945925e-18,-6.933298e-18,5.490530e+04
94,9.403635e-22,1.219152e-18,-1.218211e-18,1.295468e+05
95,5.939138e-23,2.055955e-19,-2.055361e-19,3.460706e+05
96,3.093301e-24,3.331176e-20,-3.330867e-20,1.076800e+06
97,1.275588e-25,5.185729e-21,-5.185602e-21,4.065264e+06
98,3.904861e-27,7.756224e-22,-7.756185e-22,1.986289e+07
99,7.888609e-29,1.114600e-22,-1.114599e-22,1.412922e+08
100,7.888609e-31,1.538920e-23,-1.538920e-23,1.950812e+09
